identifier	Qidentifier	hierarcylevel	type	prefLabel	altLabel	translation	description	parent	parentQ	related	relatedQ	source	creator	closeMatch	relatedMatch	seeAlso	example
FGB415		4	Q2	Kupferlegierung	Kupferlegierungen	copper alloy@en	Legierung mit Kupfer als Hauptbestandteil	A82D86					Q7|Q8	https://www.wikidata.org/wiki/Q518350|http://vocab.getty.edu/page/aat/300010942			
BF7D14		5	Q2	Bronze	Zinnbronze|Bronzen	bronze@en	Kupferlegierung mit Zinn als zweiter Hauptbestandteil. Moderne Bronzen weisen in der Regel genormte Zusammensetzungen und gezielte Legierungsbestandteile auf. In historischen Bronzen finden sich, je nach Zeitstellung und Kultur, unter Umständen sehr unterschiedliche Zusammetzungen und andere Bestandteile, wie Zink, Silber, Blei, Antimon, Arsen, etc. Zur eindeutigen metallurgischen Bestimmung wird der Begriff Bronze häufig zusammen mit dem vorangestellten Hauptlegierungszusatz verwendet (Bleibronze, Arsenbronze, usw.). Bronze kann, je nach Legierungszusammensetzung, eine gelb-golde, rötliche bis weißliche Färbung aufweisen	FGB415				https://cameo.mfa.org/wiki/Bronze	Q7|Q8	http://vocab.getty.edu/page/aat/300010957	https://www.wikidata.org/wiki/Q34095		
A8B271		5	Q2	Messing		brass@en	Kupferlegierung mit Zink als zweiter Hauptbestandteil in unterschiedlichen Massenanteilen. Weitere Legierungsbestandteile können zur Einstellung bestimmter Eigenschaften zugegeben sein. Messing kann, je nach Legierungszusammensetzung, eine hellgelbe, goldene bis bräunliche Färbung aufweisen.	FGB415				https://cameo.mfa.org/wiki/Brass	Q7|Q8	https://www.wikidata.org/wiki/Q39782|http://vocab.getty.edu/page/aat/300010946			
G992B6		4	Q2	Blei		lead@en	Chemisches Element, silber-gräuliches, weiches Metall. Gehört zur Gruppe der Schwermetalle und wirkt giftig auf den menschlichen Körper. Kommt in der Natur seltener in gediegener Form vor. Wurde in der Antike sowohl für eigenständige Objektherstellung, als auch in Pigmenten und Glazuren sowie Legierungen mit anderen Metallen verwendet.	A82D86				https://cameo.mfa.org/wiki/Lead	Q7|Q8	https://www.wikidata.org/wiki/Q708|http://vocab.getty.edu/page/aat/300011022			
G8AG1C		4	Q2	Zink		zinc@en	chemisches Element, weiß-bläuliches Metall, Kommt seltenen in gediegener Form, gebunden in Erzen jedoch recht häufig auf der Erse vor. In der Antike wurde es vor allem als Legierungsbestandteil, erst später auch in reiner Form oder als Beschichtung verarbeitet. In oxidischer Form ist Zink unter anderem auch in Pigmenten enthalten.	A82D86				https://cameo.mfa.org/wiki/Zinc	Q7|Q8	http://vocab.getty.edu/page/aat/300011037| https://www.wikidata.org/wiki/Q758			
G78BD6		4	Q2	Zinn		tin@en	Chemisches Elemtent, silberweißes, sehr weiches Metall. Gehört zur Gruppe der Schwermetalle. Wurde in der Antike hauptsächlich als Legierungsbestandteil von (Zinn-)Bronze, später auch als reines Metall (v.a. für Geschirr und kleinere Kultobjekte), Beschichtungen und Lote verwendet.	A82D86				https://de.wikipedia.org/wiki/Zinn	Q7|Q8	http://vocab.getty.edu/page/aat/300133748| https://www.wikidata.org/wiki/Q1096| https://cameo.mfa.org/wiki/Tin			
CD3341		1	Q2	Organik	organisches Material	organic@en	Allgemeiner Sammelbegriff für natürlich von Organismen gebildete Stoffe meist tierisch- oder pflanzlichen Ursprungs. Werden durch biologische Mechanismen im Boden abgebaut, wodurch archäologische Objekte aus organischen Materialien nur unter besonderen Bedingungen, die deren fortschreitende Zersetzung verlangsamen oder verhindern, erhalten bleiben. 	B51DAF	Q12				Q7|Q8	http://vocab.getty.edu/page/aat/300011792|https://cameo.mfa.org/wiki/Organic	https://www.wikidata.org/wiki/Q1783121		
AB4988		2	Q2	Textil	Stoff	textile@en	Ein in verschiedenen Verfahren aus natürlichen oder synthetischen Fasern hergestelltes, räumliches Gebilde. 	CD3341				https://www.wikidata.org/wiki/Q28823	Q7|Q8	https://cameo.mfa.org/wiki/Textile			
D73F9B		2	Q2	Leder		leather@en	Durch chemische Bearbeitung (Gerbung) haltbar gemachte Tierhaut.  	CD3341				https://www.wikidata.org/wiki/Q286	Q7|Q8	https://cameo.mfa.org/wiki/Leather|http://vocab.getty.edu/page/aat/300011845			
A9A858		2	Q2	Nassholz		wet-wood@en		CD3341					Q7|Q8				
B626A3		2	Q2	Bein	Knochen|Geweih	bone@en		CD3341					Q7|Q8				
GB6DF3		1	Q2	Silikat	silikatische Materialien|mineralische Materialien			B51DAF	Q12				Q7|Q8	http://www.wikidata.org/entity/Q7130787			
A11ACA		2	Q2	Keramik		ceramic@en	anorganischer, nicht-metallischer, durch das Brennen von Ton hergestellter Werkstoff	GB6DF3					Q7|Q8	http://vocab.getty.edu/page/aat/300235507|http://www.wikidata.org/entity/Q45621|https://cameo.mfa.org/wiki/Ceramic			
DA2D73		2	Q2	Glas		glas@en	anorganischer, amorpher Silizium-Feststoff, der durch schnelles Abkühlen einer Schmelze erzeugt wird. Gläser bestehen in der Rege aus Glasbildner (Quarzsand (SIO2)), Flussmittel (z.B. Soda (NA2O) oder Pottasche (K2O)) und Stabilisatoren (z.B. Calciumoxid (CaO) oder Calciumcarbonat (CaCO3))	GB6DF3				https://cameo.mfa.org/wiki/Glass	Q7|Q8	http://vocab.getty.edu/page/aat/300010797	https://www.wikidata.org/wiki/Q11469		
D866AD		2	Q2	Gestein	Mineral|Stein	mineral@en|stone@en	mehr oder weniger verfestigter Werkstoff aus mikroskopisch heterogenen Gemischen von Mineralen, Gesteinsbruchstücken, organischen und/oder anorganischen Ausscheidungen und Wasser (Kristallwasser). Hauptgemengeteile bilden Minerale wie Silikate (Feldspat, Quarz, Glimmer, etc.) und Karbonate (Calcit, Dolomit, etc.).	GB6DF3				https://de.wikipedia.org/wiki/Gestein	Q7|Q8	https://cameo.mfa.org/wiki/Stone|https://www.wikidata.org/wiki/Q8063|https://cameo.mfa.org/wiki/Rock	http://vocab.getty.edu/page/aat/300011176		
C4BCF8		0	Q2	Zustandserfassung	Zustandserhebung	Condition assessment@en	methodischen Untersuchung zur Ermittlung und Einschätzung des Erhaltungszustandes eines Objektes zu einem definierten Zeitpunkt 	top				http://www.wikidata.org/entity/Q125400047	Q7|Q8	http://terminology.lido-schema.org/lido00931			
DBC278		1	Q2	Bisherige Lagerung				C4BCF8					Q7|Q8				
C7C3B7		2	Q2	Frischfund			Das Objekt wurde im direkten Anschluss seiner Bergung von der Grabung in die Restaurierungswerkstätt eingeliefert	DBC278					Q7|Q8				
F9GB13		3	Q2	Blockbergung				C7C3B7					Q7|Q8				
G4AG5C		3	Q2	Scherbenpflaster				C7C3B7					Q7|Q8				
FAG415		3	Q2	Einzelentnahme				C7C3B7					Q7|Q8				
F52262		2	Q2	Depotlagerung			Das Objekt wurde bis zur Einlieferung in die Restaurierungswerkstatt im Museumsdepot aufbewahrt	DBC278					Q7|Q8				
A8ABBA		2	Q2	klimatisierte Lagerung									Q7|Q8				
C948F2		3	Q2	Gefrierschrank				A8ABBA					Q7|Q8				
D21459		3	Q2	Kühlschrank				A8ABBA					Q7|Q8				
C2241C		3	Q2	Klimaraum	Klimakammer			A8ABBA					Q7|Q8				
A2BB42		3	Q2	klimatisierte Individualverpackung	Klimakiste| Klimabox			A8ABBA					Q7|Q8				
G79CA9		2	Q2	unklimatisierte Lagerung				DBC278					Q7|Q8				
D3AF3A		1	Q2	Zustandsdokumentation	Zustandsbeschreibung|Zustandsbericht	condition documentation@en| condition report@en	Dokumentation der durchgeführten Untersuchungsmethoden, deren Ergebnisse sowie die Einschätzung des Erhaltungszustandes eines Objektes zu einem bestimmten Zeitpunkt	C4BCF8					Q7|Q8	http://vocab.getty.edu/page/aat/300435425| http://vocab.getty.edu/page/aat/300266009| http://terminology.lido-schema.org/lido00268			
F964CG		1	Q2	Schadensursache	Abbaufaktor|schädlicher Einfluss	Cause of damage@en	Für die Beschädigung/den Abbau als ursächlich angesehene negative Beeinträchtigung eines Objektes	C4BCF8		DAC996			Q7|Q8			DIN EN 15898:2020-02	
BC5B57		1	Q2	Erhaltungszustand		condition@en| state of preservation@en	Gesamtbeschaffenheit eines Objektes zu einem bestimmten Zeitpunkt	C4BCF8					Q7|Q8	http://vocab.getty.edu/page/aat/300389724			
GDF8C2		2	Q2	Physische Beschaffenheit	Merkmale	physical condition@en	Die konkreten Merkmale und Eigenschaften eines Objektes	BC5B57					Q7|Q8				
CAB799		3	Q2	Vollständigkeit	Integrität	integrity@en|completeness@en	Ausmaß an materieller Ganzheitlichkeit eines Objektes. 	GDF8C2					Q7|Q8	http://vocab.getty.edu/page/aat/300419305			
FB6AGB		3	Q2	Stabilität		stability@en	Fahigkeit eines Objektes physischer Einwirkung zu widerstehen	GDF8C2				https://www.wikidata.org/wiki/Q125400047	Q7|Q8				
C6GB1C		3	Q2	Veränderung		alteration@en		GDF8C2					Q7|Q8				
A5D63G		4	Q2	Altrestaurierung				C6GB1C									
G9D1C8		3	Q2	Maße			Die Abmessungen eines Objektes	GDF8C2					Q7|Q8				
AG4397		3	Q2	Feuchtigkeitsgehalt	Wassergehalt	moisture content@en|humidity content@en	Enthaltener Feuchtigkeitsanteil im Porenraum eines Materialis/Objektes	GDF8C2					Q7|Q8	http://vocab.getty.edu/page/aat/300379432			
DAC996		2	Q2	Schadensphänomen	Schaden|Beschädigungsart	Damage type@en	Art der negativen Veränderung an einem Objekt	BC5B57					Q7|Q8				
B224CD		2	Q2	Formänderung			Das Objekt zeigt eine Beschädigung seiner ursprünglichen Form	DAC996					Q7|Q8				
D3AGG6		2	Q2	visuelle Veränderung	optische Veränderung	visual alteration@enq optical alteration	Eine negative Veränderung des visuellen Eindrucks des Objektes	DAC996					Q7|Q8				
C36GDB		2	Q2	Materialhinzufügung		Material addition@en	Das Objekt wurde durch das Hinzufügen eines unerwünschten Materials negativ beeinflusst	DAC996					Q7|Q8				
C188DA		2	Q2	Substanzverlust		Loss of substance@en	Teile des Objektes sind verloren gegangen	DAC996					Q7|Q8				
G74A2D		2	Q2	Kohäsionsverlust			Der innere Zusammenhalt des Objektes ist gestört	DAC996					Q7|Q8				
C9D991		2	Q2	biologische Zerstörung			Durch biologische Organismen herbeigeführte Beschädigung eines Objektes	DAC996					Q7|Q8				
AA3CA7		2	Q2	chemische Veränderung			Durch chemische Prozesse herbeigeführte Beschädigung eines Objektes	DAC996					Q7|Q8				
CA1BC5		1	Q2	Objektuntersuchung		investigation@en|examination@en	Beschaffung und Sammlung von Informationen über den Zustand eines Objektes, anhand derer das Restaurierungs-/Konservierungskonzept und/oder die weiteren Lagerungs- und Handhabungsempefehlungen formuliert werden	C4BCF8				http://www.wikidata.org/entity/Q125400047	Q7|Q8		http://vocab.getty.edu/page/aat/300137546|http://vocab.getty.edu/page/aat/300226216		
AA6941		2	Q3	[Untersuchungsgerät]	Analysegerät	analytical device@en		CA1BC5					Q7|Q8		http://vocab.getty.edu/page/aat/300122283		
C2788C		3	Q2	RFA-Spektrometer	Röntgenfluoreszenz-Spektrometer	X-ray fluorescence spectrometer@en	Gerät mit dem eine Röntgenfluoreszenzanalyse durchgeführt werden kann. Das Gerät misst dabei die Intensitäten der emmitierten Fluoreszenzsröntgenstrahlung eines Materials/einer Probe, sodass Rückschlüsse auf die Elementzusammensetzung innerhalb der Probe gezogen werden können.	AA6941					Q7|Q8				
DG6841		3	Q2	CT	Computertomograph	computed tomography scanner@en		AA6941					Q7|Q8	https://d-nb.info/gnd/4113240-3			
G8D62A		3	Q2	Röntgenanlage		X-ray equipment@en		AA6941					Q7|Q8				
B538AG		3	Q2	Mikroskop		microscope@en		AA6941				https://de.wikipedia.org/wiki/Mikroskop	Q7|Q8	http://vocab.getty.edu/page/aat/300024594			
FC2113		4	Q2	Lichtmikroskop		light microscope@en		B538AG				https://de.wikipedia.org/wiki/Lichtmikroskop	Q7|Q8				
A75779		5	Q2	Stereomikroskop		stereomicroscop@en		FC2113				https://de.wikipedia.org/wiki/Stereomikroskop	Q7|Q8				
G69G4B		5	Q2	monokular Mikroskop		monocular microscope@en		FC2113					Q7|Q8				
GA6422		5	Q2	binokular Mikroskop		binocular microscope@en		FC2113				https://de.wikipedia.org/wiki/Stereomikroskop	Q7|Q8				
A7FA3B		5	Q2	Polarisationsmikroskop		petrographic microscope@en		FC2113				https://de.wikipedia.org/wiki/Polarisationsmikroskop	Q7|Q8				
A9F854		5	Q2	Fluoreszenzmikroskopen		fluorescence microscope@en		FC2113				https://de.wikipedia.org/wiki/Fluoreszenzmikroskopie	Q7|Q8				
B94DCD		5	Q2	Auflichtmikroskop		incident light microscope@en		FC2113					Q7|Q8				
A9611D		5	Q2	Durchlichtmikroskop		transmitted light microscope@en		FC2113					Q7|Q8				
B764C6		4	Q2	Rasterelektronenmikroskop	REM	scanning electron microscope@en|SEM@en		B538AG				https://de.wikipedia.org/wiki/Rasterelektronenmikroskop	Q7|Q8	http://vocab.getty.edu/page/aat/300024596			
AG4G3C		4	Q2	Digitalmikroskop				B538AG						http://vocab.getty.edu/page/aat/300444116			
G8C987		3	Q2	UV-Lampe				AA6941					Q7|Q8				
D4A13D		2	Q3	[Untersuchungsmethode]				CA1BC5					Q7|Q8				
G9B788		3	Q2	Materialanalyse				D4A13D					Q7|Q8				
FCB7A5		4	Q2	Röntgenfluoresezenzanalyse	RFA	XRF@en|X-ray fluorescence analysis@en		G9B788							http://vocab.getty.edu/page/aat/300224161		
A4G52F		1	Q2	Einlieferungszustand	Vorzustand		Zustand eines Objektes zum Zeitpunkt der Einlieferung in die Restaurierungswerkstatt	C4BCF8		D3AF3A			Q7|Q9				
C2488A		1	Q2	Endzustand	Abschlusszustand		Zustand eines Objektes nach Abschluss der praktisch durchgeführten Konservierungs- und Restaurierungsmaßnahmen sowie Überprüfung in wie fern das zuvor festgelegte Restaurierung-/Konservierungsziel erreicht werden konnte.	C4BCF8		D3AF3A			Q7|Q8				
A18D95		0	Q2	Restaurierungs-/Konservierungskonzept			Festlegung des anzustrebenden Konservierungs-/Restaurierungsziels, Planung/Entwicklung der methodischen Vorgehensweise zur Erhaltung und Wiederherstellung des Objektes, Zeitplanung und Risikoabschätzung, basierend auf den Ergebnissen der Zustandserfassung.	top					Q7|Q8				
DA4158		1	Q2	Restaurierungs-/Konservierungsziel				A18D95					Q7|Q8				
AC1786		1	Q2	Zeitplanung				A18D95					Q7|Q8				
CDD6B5		1	Q2	Risikobeurteilung		risk assessment@en		A18D95					Q7|Q8		http://vocab.getty.edu/page/aat/300263660		
GDF23F		1	Q2	Methodik	Vorgehensweise	methodology@en	Planung der strukturierten Vorgehensweise bei der praktischen Durchführung zur Erreichung des festgelegten Restaurierungs-/Konservierungsziel. Basierend auf den Erkenntnissen der Zustandserfassung sowie unter Berücksichtigung der Risikobeurteilung und der Zeitplanung werden die geeignetsten Methoden und Techniken, die benötigten Materialien sowie Werkzeuge festgelegt. 	A18D95					Q7|Q8		http://vocab.getty.edu/page/aat/300054676		
CFGDA3		0	Q2	Praktische Durchführung	durchgeführte Maßnahme		Ausführung der im Restaurierungskonzept geplanten Vorgehensweisen zur Erreichung des festgelegten Restaurierungs-/Konservierungsziel 	top					Q7|Q8				
G98FD4		1	Q2	Konservierung	stabilisierende Konservierung|Konservierungsmethoden|Konservierungsmaßnahmen	conservation@en	aktiver Eingriff, der direkt an einem Objekt vorgenommen wird, um weiteren Abbau, Zerfall und/oder Schädigung zu verhindern, zu verzögern und/oder zu begrenzen	CFGDA3				http://www.wikidata.org/entity/Q125400047	Q7|Q8				
CDD614		2	Q2	Entsalzung	Entsalzen	desalination@en	Methode zur Entfernung von durch die Bodenlagerung in ein Objekt/Material eingedrungenen Salzen	G98FD4					Q7|Q8				
F72743		2	Q2	Plasmabehandlung				G98FD4									
DA9CGG		2	Q2	Festigung	Festigen|Sicherung|Stabilisierung		Methode zur Verbesserung des inneren Zusammenhaltes oder der mechanischen Stabiliät eines Objektes durch Zuführung eines stabilisierenden Materials	G98FD4				http://www.wikidata.org/entity/Q125400047	Q7|Q8				
GF41DG		2	Q2	Schutzüberzug			Methode zum Schutz der Objektoberfläche vor negativer Einwirkung von außen durch Auftrag eines schützenden Materials	G98FD4									
AF1F5C		2	Q2	Trocknung			Methode zur Entfernung von Feuchtigkeit aus dem Objekt oder von dessen Oberfläche	G98FD4									
C79561		1	Q2	Restaurierung	Restaurierungsmethoden|Restaurierungsmaßnahmen	restoration@en	aktiver Eingriff an einem stabilen oder stabilisierten Objekt, der darauf abzielen, dessen Verständnis, Wahrnehmung und/oder Wertschätzung, zu verbessern, unter Beachtung dessen ursprünglicher Bedeutung sowie der vorgefundenen oder vermuteten Techniken und Materialien 	CFGDA3				http://www.wikidata.org/entity/Q125400047	Q7|Q8	http://vocab.getty.edu/page/aat/300053742	https://www.wikidata.org/wiki/Q217102		
CDD613		2	Q2	Reinigung	Reinigen	cleaning@en	Methode zur Entfernung unerwünschter und/oder potenziell schädlicher Materialien von einem Objekt. In der Regel auf Erd-, Dreck- oder Staubanhaftungen bezogen			G814D2		http://www.wikidata.org/entity/Q125400047	Q7|Q8	http://vocab.getty.edu/page/aat/300053027			
FF8792		4	Q2	Trockenreinigung		dry cleaning@en		CDD613					Q7|Q8	http://vocab.getty.edu/page/aat/300219637			
C3733A		4	Q2	Feuchtreinigung		wet cleaning@en		CDD613					Q7|Q8				
A194CF		4	Q2	Waschung	Nassreinigung|Spülung	washing@en		CDD613					Q7|Q8		http://vocab.getty.edu/page/aat/300053042		
G814D2		2	Q2	Freilegung	Freilegen	uncovering@en	Methode zur Entfernung unerwünschter und/oder potenziell schädlicher Materialien von der Oberfläche eines Objektes zur Offenlegung der zuvor verdeckten originalen Objektoberfläche. In der Regel auf die Entfernung von Korrosions- oder Sinterauflagerungen bezogen.			CDD613			Q7|Q8		http://vocab.getty.edu/page/aat/300053027		
A13CD1		2	Q2	Klebung	Kleben|Fügung	bonding@en	Methode des Zusammenfügens von Fragmenten und/oder Materialien durch eine adhäsive Verbindung mit Klebstoff						Q7|Q8				
CGC619		2	Q2	Ergänzung	Ergänzen	filling@en	Methode zur Vervollständigung fehlender Objektteile durch das Hinzufügen von Material. Wird nach der modernen archäologischen Restaurierungsethik nur noch aus statischen/stabilisierenden Gründen oder zu Rekonstruktion eines vollkommen unkenntlichen Erscheinungsbildes durchgeführt.						Q7|Q8				
BD119A		3	Q2	Retusche	Kolorieren|Färben			CGC619									
C364G1		2	Q3	[Konservierungs- und Restaurierungsmaterialien]		restorationmaterial@en|conservationmaterial@en	strukturierender Sammelbegriff für sämtliche zur Konservierung und/oder Restaurierung eines Objektes verwendeter (Verbrauchs-)Materialien	GF41DG					Q7|Q8	http://www.wikidata.org/entity/Q214609| http://terminology.lido-schema.org/lido00132			
A95DFA		3	Q2	Reinigungsmittel		detergent@en		GF41DG									
C421BF		3	Q2	Lösungsmittel	Lösemittel	solvent@en		C364G1					Q7|Q8				
G7F69C		3	Q2	Bindemittel				C364G1									
F87124		3	Q2	Komplexbildner				C364G1					Q7|Q8				
ACFF37		3	Q2	Korrosionsinhibitor				C364G1									
B3FCA1		3	Q2	Reduktionsmittel		reducing agent@en	chemische Substanz, die Elektronen abgeben und somit andere Substanzen reduzieren kann (Redoxreaktion)	C364G1				https://www.wikidata.org/wiki/Q216830	Q7|Q8	http://vocab.getty.edu/page/aat/300380032			
A2B746		3	Q2	Base		alkaline solution@en|base@en	chemische Substanz, die in wässriger Lösung ein Proton aufnehmen oder ein freies Elektronenpaar abspalten kann.	C364G1				https://www.wikidata.org/wiki/Q11193	Q7|Q8	http://vocab.getty.edu/page/aat/300237910|https://cameo.mfa.org/wiki/Alkali			
FGF575		3	Q2	Säure		acidic detergent@en|acid@en	chemische Substanz, die in wässriger Lösung Protonen aus ihrer Wasserstoffverbindung abspalten oder ein freies Elektronenpaar aufnehmen kann	C364G1				https://www.wikidata.org/wiki/Q11158	Q7|Q8	http://vocab.getty.edu/page/aat/300011752|https://cameo.mfa.org/wiki/Acid			
A1D125		3	Q2	Polymer				C364G1									
CB4G84		3	Q3	Harz				C364G1									
AF31AG		4	Q2	Epoxidharz				CB4G84									
GFD582		4	Q2	Acrylharz				CB4G84									
AG2965		4	Q2	natürliches Harz													
BGGCA4		3	Q2	Verstärkungsfasern				C364G1									
C93638		2	Q3	[Werkzeuge]				GF41DG					Q7|Q8	http://www.wikidata.org/entity/Q39546			
GF9C49		3	Q3	[technische Geräte]				C93638					Q7|Q8				
G487C2		4	Q2	Feinsandstrahlgerät	Mikrosandstrahlgerät			GF9C49					Q7|Q8				
D8G747		4	Q2	Mikromotor				GF9C49					Q7|Q8				
ABF57G		5	Q2	Diamantschleifkörper		diamand grinding wheel@en		D8G747					Q7|Q8				
A97F31		5	Q2	Gummischleifkörper	Gummipolierer	rubber abrasives@en|rubber polisher@en		D8G747					Q7|Q8				
CDF423		5	Q2	Metallfräser		metal cutter@en		D8G747					Q7|Q8				
C5A318		4	Q2	Ultraschallgerät				GF9C49					Q7|Q8				
GF9C48		4	Q2	Absauganlage				GF9C49					Q7|Q8				
D941BA		4	Q2	Gefriertrocknungsanlage				GF9C49					Q7|Q8				
DAC482		4	Q2	Lötanlage				GF9C49					Q7|Q8				
D941BB		3	Q3	[manuelle Werkzeuge]				C93638					Q7|Q8				
CC2BBB		4	Q2	Pinsel				D941BB					Q7|Q8				
C4569A		4	Q2	Bürste		brush@en		D941BB					Q7|Q8				
D84847		4	Q2	Wattestäbchen		cotton swab@en		D941BB					Q7|Q8				
D1A63D		4	Q2	Putzholz		cleaning wood stick@en		D941BB					Q7|Q8				
F91CBB		4	Q2	Radiergummi		eraser@en		D941BB					Q7|Q8				
B28GC7		4	Q2	Zellstoff				D941BB					Q7|Q8				
AA4F93		4	Q2	Textil		textile@en		D941BB					Q7|Q8				
A341F9		4	Q2	Schwamm		sponge@en		D941BB					Q7|Q8				
F71C33		4	Q2	Skalpell		scalpel@en		D941BB					Q7|Q8				
D1C67A		4	Q2	Metallschaber		metal scraper@en		D941BB					Q7|Q8				
ACB46G		4	Q2	Stachelschweinborste		porcupine bristle@en		D941BB					Q7|Q8				
F18C56		4	Q2	Holzschaber		wood scraper@en		D941BB					Q7|Q8				
G33846		4	Q2	Acrylglasschaber	Plexiglasschaber	acrylic scraper@en		D941BB					Q7|Q8				
C3A182		1	Q2	Nachbildung für wissenschaftliche Zwecke	Nachbilden|Kopieren		Erstellung aussagekräftiger Vergleichsstücke zu wissenschaftlichem Zweck	CFGDA3					Q7|Q8				
G79CAC		2	Q3	[Nachbildungsmethoden und - materialien]			strukturierender Sammelbegriff für verschiedene Methoden, die zur Herstellung von wissenschaftlichen Vergleichsstücken angewandt werden können sowie die hierzu benötigten Materialien	C3A182									
DAG2A8		3	Q2	Abformung				G79CAC									
G52378		4	Q2	analoge Abformung				DAG2A8									
BB78D2		5	Q3	[Abformungsmaterialien]				G52378					Q7|Q8				
F8F7CA		5	Q2	Formart				G52378									
GC14B8		4	Q2	digitale Abformung				DAG2A8									
F8F7CF		3	Q2	Kopieherstellung			Methode zur Erstellung einer originalgetreuen Nachbildung eines Objektes. Der Kopieherstellung geht die Abformung eines Objektes voraus.	G79CAC		DAG2A8							
D9CC3C		4	Q3	[Methoden]				F8F7CF									
FFA16B		4	Q3	[Materialien]				F8F7CF									
FA2332		3	Q2	Rekonstruktion			Methode zur Wiederherstellung und/oder Nachbildung eines ursprünglichen Zustandes 	G79CAC									
G6282F		4	Q2	Rückformung			Umformung einer Kunstharz- oder Galvanokopie zur Herstellung der angenommenen, ursprünglichen Form eines Vorbildobjektes.	FA2332									
BDCBC3		4	Q2	Ergänzung			Ausbesserung von Fehlstellen einer Kunstharz- oder Galvanokopie nach Vorbild eines originalen Objektes. 	FA2332									
G59852		3	Q2	Reproduktion			Ohne direkte Abformung angefertigte Nachbildung oder Wiedergabe eines originalen Objektes, das von einer anderen Person angefertigt wurde.	G79CAC									
B689B6		4	Q3	[Methode]				G59852									
D2GGAC		4	Q3	[Material]				G59852									
BD7FF8		3	Q2	Modellanfertigung			Methode zur Herstellung von modellhaften Darstellung auf Forschungsergebnissen basierender Gegebenheiten. 	G79CAC									
F1F372		3	Q2	Kolorierung	Kolorieren|Färben		Methode zur farbigen Fassung einer angefertigten Kopie nach originalem Objektvorbild	G79CAC					Q7|Q8				
C11192		2	Q3	[Nachbildungsergebnisse]			struktureller Sammelbegriff für die bei der Nachbildungstätigkeit entstehenden Objekte	C3A182									
A7FC45		3	Q2	Kopie			Durch abformen nachgebildetes Objekt eines Vorbildgegenstandes, welches u.A. zur Erforschung der Typologie, Oberflächeneigenschaften und/oder Farbgebung des Originals genutzt wird. 	C11192									
D532GF		3	Q2	Rekonstruktion			Nachgebildetes Objekt, das einen angenommenen, ursprünglichen Zustand eines Vorbildgegendstandes wiedergibt. 	C11192									
